순번,학수번호,교과명,교수성명,점수,소속학과,구분,영역,outline,goal,keyword
27,12865007,4.0시대의 커뮤니케이션 개론,오대영,85.4,미디어커뮤니케이션학과,교양,사회와역사,"역사적으로 미디어 기술 발전은 커뮤니케이션 방법과 수단의 변화를 가져오고, 그것은 인간의 인식과 사고방식은 물론 사회구조의 패러다임을 혁신적으로 변화시켰습니다. 급속히 다가오고 있는 4차 산업혁명 시대에도 많은 기업들이 인공지능(AI) 면접을 도입하고 있듯이, 미디어의 기술이 혁명적으로 변화하고 있습니다. 이 과목은 4치 산업혁명 시대에 등장하고 있는 새로운 미디어 기술과 커뮤니케이션 방법과, 이것들이 사회구조와 직업세계에 어떤 영향을 주는가를 알아보고자 합니다. 구체적으로 미디어 생태학, 기술결정론의 입장에서 미디어 기술과 커뮤니케이션 수단이 역사적으로 어떻게 발전해왔으며, 이것들이 사회를 어떻게 변화시켰는가를 학습합니다. 그리고 4차 산업혁명에 따른 미디어와 커뮤니케이션의 변화에 대해 알아봅니다.","4차 산업혁명으로 인한 미디어와 커뮤니케이션 기술의 변화 내용과 특징, 그리고 인간 사회에 미치는 영향에 대해 알아본다. 4차 산업혁명의 커뮤니케이션 특징을 이해하고, 향후 사회에서 진로를 찾아가는데 도움이 되도록 한다.",
28,12403007,글로벌 시민교육,김혜수,92.4,유아교육학과,교양,사회와역사,"글로벌 시민교육은 인류보편적 가치인 세계평화, 인권, 문화 다양성 등에 대해 폭넓게 이해하고, 실천하는 책임 있는 시민을 양성하는 교양강좌이다. 본 강의를 통해 글로벌 시민교육, 글로벌 시민의 자질, 글로벌 시민을 양성하기 위하여 다양한 영역에서 실천 가능한 글로벌 시민교육의 적용 등에 대한 이해 및 실천능력을 높일 수 있다.","본 강좌를 수강한 학생은 다음과 같은 지식과 능력을 함양할 수 있다. 글로벌 시민이 갖추어야 할 지식과 자질에 관한 기본 이론을 이해한다. 글로벌 시민교육의 세부 영역별 내용을 이해한다. 다문화 사회, 인권, 미디어, 환경 등 다양한 영역에서 글로벌 시민의식을 실천할 수 있는 구체적 방안을 제시할 수 있다.",
29,5612002,동아시아사의이해,정문상,89.5,가천리버럴아츠칼리지,교양,사회와역사,"고대부터 19세기 개항을 둘러싼 국제질서의 변화, 1945년 일본의 패망이후 현재에 이르기까지 역사문제 및 영토문제 등 동아시아사 전반에 대해 이해하고 이를 기반으로 미래 지향적 동아시아를 구상할 수 있는 역사적 안목을 함양함.","1. 동아시아인들의 다양한 삶과 활동 그리고 사상들에 대한 이해를 높일 수 있다. 2. 교류와 연동의 동아시아 지역세계사에 대한 이해를 높일 수 있다. 3. 화해와 공존의 미래 지향적 동아시아를 구상하고 궁극적으로는 인류사 발전에 기여할 수 있는 역사적 안목을 함양할 수 있다. 4. 팀 학습을 통하여 협력적 태도와 자기주도적 학습능력, 발표능력 등을 향상할 수 있다.",
30,11940002,문명은 어떻게 이루어지는가?,홍준희,92.7,에너지IT학과,교양,사회와역사,문명의 탄생과 진화에 대한 빅히스토리 강좌,문명의 창발과 진화를 이해해서 우리의 미래를 설계함,
31,5615007,문화인류학,김성일,82.2,자유전공학부,교양,사회와역사,"세계 여러 문화의 개념과 역사, 환경 등의 다각적인 주제 연구를 통해 다양한 방식으로 발전해 온 인류문화의 자산과 자취를 폭넓게 이해시키고자 한다. 나아가 세계화의 가치 아래 21세기를 살아가고 이끌어갈 학생들로 하여금 세계 속에서 한국의 문화를 조화롭게 이루어 나가는데 있어서 올바른 문화적 좌표를 인식, 확립하는데 기여하도록 한다.","문화의 개념과 인류의 진화, 고대사회와 역사, 가족과 환경 등의 다각적인 주제연구를 통하여 다양한 지역과 역사를 두고 발전해 온 인류문화의 자산과 자취를 폭 넓게 이해시키고자 한다. 나아가 세계화의 가치 아래 21세기를 주도할 학생들로 하여금 세계 속의 한국문화를 조화롭게 이루어 나가는데 있어서 올바른 문화적 좌표를 인식, 확립하는데 기여하도록 한다. 그리고 지금 이 곳의 우리문화상황을 특히 대중 문화적인 관점에서 조명하여 우리의 삶에 대한 좀더 포괄적인 이해를 고취시키고자 한다. 문화를 보는 방식은 총체론, 상대론, 비교주의라는 큰 틀 속에서 진행된다. 이 과목에서는 문화 전공자를 초빙하여 문화를 다각도로 분석해 본다. 특히 현대사회에는 문화를 활용한 사업이 주된 산업이며 국가의 경쟁력이 될 수 있다. 따라서 문화를 정확히 이해하고 분석하는 것을 배우는 것은 미래의 선구자의 길을 가는 것이다",
32,13479007,민주주의의 미래,정지훈,93.8,자유전공학부,교양,사회와역사,"본 강의는 현실 정치 제도로서의 민주주의가 아니라, 민주주의라는 이념 혹은 이상을 다루며, 그것을 떠받치고 있는, 자유, 평등, 권리, 시민성, 공화국 등의 개념들을 철학적으로 탐구해보는 수업이다.",본 강의의 목표는 수강자가 민주주의의 이념적 토대가 무엇인지 그리고 더 나은 민주주의를 이루기 위해서 무엇이 필요한지에 대해 생각해볼 수 있는 기회를 제공하는 데에 있다.,
33,13479002,민주주의의 미래,김영걸,93,자유전공학부,교양,사회와역사,"한 노벨상 수상자는 '20세기에 일어난 가장 중요한 사건이 무엇인가?'라는 질문에 민주주의의 대두라고 답했다. 하지만, 우리가 알고 있는 민주주의의 대표적인 특징으로 '다수결'과 '선거'외에 또 우리는 무엇을 알고 있는가? 민주주의가 펼쳐진 땅에서 살고 있는 우리는 민주주의에 대한 이해가 부족하다고 할 수 있다. 이에, 본 수업은 민주주의에 대한 이해를 넓히고 앞으로의 민주주의에 대한 고민을 해보고자 한다.",민주주의 이해하기 민주주의 국가의 시민으로서의 정치참여 숙고하기 민주주의 발전된 정치체를 고민하기,
34,12409007,분단의 극복과 통일,이기덕,92,자유전공학부,교양,사회와역사,"우리 민족의 숙원인 통일의 필요성을 통일 비용과 통일 편익 측면에서 살펴보고, 우리의 통일의 상대이자 안보위협의 대상인 북한의 현실에 대해 구체적이고 객관적인 지식을 습득한다. 또한 남북분단의 역사를 살펴보고 갈등과 협력의 남북관계에 대한 이해를 제고시키고, 통일을 이룩하기위해서 필요한 주변강대국의 한반도 정책을 고찰하는 한편, 독일, 베트남, 예멘 등 분단국의 통일사례연구등을 통해 바람직한 남북한 통일방안을 모색한다. 특히 최근 남북정상회담, 미북정상회담 추진배경과 성과 등을 설명하고, 향후 종전 선언과 평화협정 체결 등을 통한 한반도 평화정착과 통일에 미치는 영향등 시사성이 있는 주제들을 매 수업시간에 추가한다.","본 강좌는 통일시대를 대비하여 수강생들로 하여금 통일문제와 북한의 실상에 관한 객관적 지식을 습득케하여 미래지향적 통일관, 건전한 안보관, 균형있는 북한관의 정립을 통해 통일에 대한 긍정적 인식과 바람직한 태도를 기르고, 실질적으로 통일을 준비할 수 있는 실천의지와 역량을 함량하는 목표로 하고 있다. 특히 최근 남북관계 진전사항에 대한 객관적 설명 등을 통해 한반도 안보현실에 대한 관심을 제고시키고 통일의 필요성을 각인시킨다.",
35,12409002,분단의 극복과 통일,라종일,88.6,경찰·안보학과,교양,사회와역사,“통일”은 남.북한을 막론하고 우리 민족의 정치 담론에서 해방 이후 한 세기에 접근하는 시기에 걸쳐 꾸준히 가장 중요한 어휘 중의 하나이다. 그럼에도 불구하고 통일은 현실에서 한발자국도 더 앞으로 나가지 못하고 있다. 오히려 어떻게 보면 현실은 더 어렵게 꼬여 있는지도 모른다. 분단된 채로 남과 분은 이미 같은 민족으로서의 동질성의 수준이 상당한 정도로 저하하여 있다. 극단적으로 남북한의 주민은 같은 민족이라고 할 수 없다는 견해를 피력하는 인사들도 있다. 다른 한 면으로 특히 젊은 세대에 있어서는 그 이전 세대에 비해 통일에 대한 절실한 감이 없으며 이해나 관심조차도 현저하게 저하하고 있다고 한다.,"위의 목표를 달성하기 위하여 가장 중요한 것은 학생들이 학습에 임하는 태도이다. 학생들은 교재를 소화하고 바른 답을 발표하거나 써내는 것에 그치지 않고 적극적으로 학습에 참여하여 스스로 활동하며 생각하고, 나름대로 추론하고 정리하며 민족의 숙원이 통일과 자신의 관계에 관하여 일정한 결론에 도달하여야 한다. 통일에 관련된 사실이나 의견 그리고 학문적인 연구의 양은 엄청나게 많은 반면 학습에 쓸 수 있는 시간은 제한되어 있다. 가능한대로 교재 중심의 강의를 최소화하고 영상물이나 소설 같은 다양한 자료도 활용하고 개인이나 그룹별 발표와 토론 등 여러 방식을 활용한다. 학생들은 각기 소 그룹으로 나누어 통일의 주 행동자들, 예를 들어 주변의 4대 강국이나 남.북한 정부, 사회 혹은 탈북자들에 관한 심층적인 조사와 연구를 하여 이를 다른 학우들과 함께 발표하고 함께 토론하는 식도 병행하려 한다. 때로는 외부 강사를 초빙해서 특정한 주제에 관한 이해의 수준을 높이는 방식도 병행한다끝으로 한 학기 동안 연구 조사한 것을 토대로 통일에 관한 바른 접근을 시도해 본다.",
36,13480002,사회학의 이해,유종성,81,가천리버럴아츠칼리지,교양,사회와역사,사회학의 주요 이론과 핵심개념의 이해,미시적인 수준에서 개인의 사회적 만남이나 상호작용과 거시적인 수준의 사회나 제도와 연계해서 이해하고 분석하고 비판적으로 사고할 수 있는 능력을 기르도록 함,
37,5215002,생활과법률,장송청,95.7,한국학전공,교양,사회와역사,"법의 일반이론과 수강생들의 일상생활과 관련되는 법적 테마를 선정하여 강의, 발표함으로써 관련 법지식을 습득하고 법에 대한 기본이해를 돕고 법에 관한 기본소양을 갖추도록 한다.",1) 법의 일반이론을 습득하여 법의 기본개념에 대한 이해를 돕는다. 2) 수강생들의 일상과 밀접한 연관이 있는 법률상식에 대한 이해를 돕는다. 3) 민주시민으로서의 기본적인 법적 소양을 함양한다. 4) 테마발표를 통하여 문장작성능력과 발표능력을 향상한다.,
38,13481002,서양문명의 역사,김성일,89,자유전공학부,교양,사회와역사,"서양사에 대한 개설적 지식 습득하는 과정에 보다 적극적인 수업 참여를 유도하게 된다. 동서양의 비교가 될 수 있는 문화적 체험을 수업에서 강조하게 된다. 서양문명의 시작인 그리스 문명를 다루며, 유럽지역에서 프랑스를 중심으로 서양문영의 역사를 이해하는 수업이다. 수업 참여자는 반드시 1회 이상의 수업 발표를 할 예정이며, 이 발표과정에서 보다 적극적인 수업자세와 논리적인 준비를 통해 앞으로 사회에서 필요한 표현력 논리 전개력을 개발하는것도 이 수업의 한 목표이다. 질의 응답도 위에서 언급된 내용에 필요한 요소가 된다.",서양문명의 역사에 대한 개설적인 지식을 습득함으로써 유럽 사회를 이해하는 기초를 다진다,
